"","year","site","phenotype","id","ps_flor","n_ovu","polen_type","max_polen2","min_polen2","max_polen","min_polen","mean_polen","ns"
"365","2019","Gualeguaychu","321","5",15.1,9,"grano de polen",27,25.5,40.5,38.25,39.375,NA
"366","2019","Gualeguaychu","321","6",14,5,"grano de polen",16.5,16.5,24.75,24.75,24.75,NA
"367","2019","Gualeguaychu","321","7",14.5,3,"grano de polen",24,22.5,36,33.75,34.875,NA
"368","2019","Gualeguaychu","321","8",16.1,6,"grano de polen",22.5,21,33.75,31.5,32.625,NA
"369","2019","Gualeguaychu","321","9",13.4,4,"grano de polen",24,22.5,36,33.75,34.875,NA
"370","2019","Gualeguaychu","321","10",12.5,4,"grano de polen",19.5,18,29.25,27,28.125,NA
"371","2019","Gualeguaychu","324","1",20.3,6,"grano de polen",19.5,18,29.25,27,28.125,NA
"372","2019","Gualeguaychu","324","2",12,4,"grano de polen",18,12,27,18,22.5,NA
"373","2019","Gualeguaychu","324","3",18.9,7,"grano de polen",18,13.5,27,20.25,23.625,NA
"374","2019","Gualeguaychu","324","4",11.6,0,"grano de polen",16.5,16.5,24.75,24.75,24.75,NA
"375","2019","Gualeguaychu","324","5",19.4,5,"grano de polen",16.5,16.5,24.75,24.75,24.75,NA
"376","2019","Gualeguaychu","324","6",17.9,2,"grano de polen",16.5,12,24.75,18,21.375,NA
"377","2019","Gualeguaychu","324","7",11,4,"grano de polen",19.5,16.5,29.25,24.75,27,1
"378","2019","Gualeguaychu","324","8",9.4,5,"grano de polen",16.5,16.5,24.75,24.75,24.75,3
"379","2019","Gualeguaychu","324","9",12.4,0,"grano de polen",18,15,27,22.5,24.75,1
"380","2019","Gualeguaychu","324","10",12.3,6,"grano de polen",18,18,27,27,27,1
"381","2019","Gualeguaychu","325","1",10.8,5,"grano de polen",28.5,27,42.75,40.5,41.625,1
"382","2019","Gualeguaychu","325","2",10.1,0,"grano de polen",21,16.5,31.5,24.75,28.125,1
"383","2019","Gualeguaychu","325","3",11,0,"grano de polen",16.5,16.5,24.75,24.75,24.75,1
"384","2019","Gualeguaychu","325","4",11.8,2,"grano de polen",18,15,27,22.5,24.75,1
"385","2019","Gualeguaychu","325","5",13,5,"grano de polen",18,16.5,27,24.75,25.875,1
"386","2019","Gualeguaychu","325","6",8.7,3,"grano de polen",18,16.5,27,24.75,25.875,1
"387","2019","Gualeguaychu","325","7",7.3,3,"grano de polen",12,9,18,13.5,15.75,1
"388","2019","Gualeguaychu","325","8",13.4,4,"grano de polen",18,16.5,27,24.75,25.875,1
"389","2019","Gualeguaychu","325","9",6.7,6,"grano de polen",16.5,15,24.75,22.5,23.625,1
"390","2019","Gualeguaychu","325","10",13,4,"grano de polen",15,13.5,22.5,20.25,21.375,NA
"391","2019","Gualeguaychu","331","1",9.7,2,"grano de polen",15,13.5,22.5,20.25,21.375,3
"392","2019","Gualeguaychu","331","2",10.4,2,"grano de polen",16.5,15,24.75,22.5,23.625,2
"393","2019","Gualeguaychu","331","3",9.5,5,"grano de polen",13.5,12,20.25,18,19.125,1
"394","2019","Gualeguaychu","331","4",12.6,5,"grano de polen",18,12,27,18,22.5,2
"395","2019","Gualeguaychu","331","5",7.8,3,"grano de polen",24,19.5,36,29.25,32.625,1
"396","2019","Gualeguaychu","331","6",9.5,8,"grano de polen",18,15,27,22.5,24.75,2
"397","2019","Gualeguaychu","331","7",10.6,9,"grano de polen",21,15,31.5,22.5,27,1
"398","2019","Gualeguaychu","331","8",11.1,6,"grano de polen",33,22.5,49.5,33.75,41.625,1
"399","2019","Gualeguaychu","331","9",10.6,5,"grano de polen",22.5,16.5,33.75,24.75,29.25,1
"400","2019","Gualeguaychu","331","10",11.5,0,"grano de polen",13.5,13.5,20.25,20.25,20.25,1
"401","2019","Gualeguaychu","331","11",NA,NA,NA,NA,NA,NA,NA,NA,2
"402","2019","Gualeguaychu","331","12",NA,NA,NA,NA,NA,NA,NA,NA,1
"403","2019","Gualeguaychu","337","1",13.6,5,"grano de polen",18,16.5,27,24.75,25.875,1
"404","2019","Gualeguaychu","337","2",16.4,4,"grano de polen",25.5,13.5,38.25,20.25,29.25,2
"405","2019","Gualeguaychu","337","3",14.7,3,"grano de polen",18,9,27,13.5,20.25,1
"406","2019","Gualeguaychu","337","4",12.6,3,"grano de polen",19.5,15,29.25,22.5,25.875,1
"407","2019","Gualeguaychu","337","5",14.9,6,"grano de polen",16.5,13.5,24.75,20.25,22.5,1
"408","2019","Gualeguaychu","337","6",17.5,6,"grano de polen",18,16.5,27,24.75,25.875,1
"409","2019","Gualeguaychu","337","7",11.6,5,"grano de polen",21,15,31.5,22.5,27,1
"410","2019","Gualeguaychu","337","8",18.6,6,"grano de polen",18,15,27,22.5,24.75,1
"411","2019","Gualeguaychu","337","9",13.7,5,"grano de polen",18,15,27,22.5,24.75,1
"412","2019","Gualeguaychu","337","10",13.8,3,"grano de polen",18,18,27,27,27,NA
